"Plot Title: 11009653"
"#","Date Time, GMT-06:00","DO conc, mg/L (LGR S/N: 11009653, SEN S/N: 11009653, LBL: DO)","Temp, °F (LGR S/N: 11009653, SEN S/N: 11009653, LBL: Temp)","Coupler Attached (LGR S/N: 11009653)","Host Connected (LGR S/N: 11009653)","Stopped (LGR S/N: 11009653)","End Of File (LGR S/N: 11009653)"
1,12/01/18 12:00:00 AM,9.18,65.70,,,,
2,12/01/18 12:30:00 AM,9.33,64.47,,,,
3,12/01/18 01:00:00 AM,8.73,70.23,,,,
4,12/01/18 01:30:00 AM,8.93,67.96,,,,
5,12/01/18 02:00:00 AM,9.16,66.02,,,,
6,12/01/18 02:30:00 AM,9.31,64.72,,,,
7,12/01/18 03:00:00 AM,9.00,67.71,,,,
8,12/01/18 03:30:00 AM,9.15,66.13,,,,
9,12/01/18 04:00:00 AM,9.31,64.69,,,,
10,12/01/18 04:30:00 AM,8.87,69.15,,,,
11,12/01/18 05:00:00 AM,9.08,66.85,,,,
12,12/01/18 05:30:00 AM,9.26,65.19,,,,
13,12/01/18 06:00:00 AM,8.60,70.52,,,,
14,12/01/18 06:30:00 AM,8.91,68.54,,,,
15,12/01/18 07:00:00 AM,9.14,66.24,,,,
16,12/01/18 07:30:00 AM,9.32,64.69,,,,
17,12/01/18 08:00:00 AM,8.78,69.84,,,,
18,12/01/18 08:30:00 AM,9.02,67.35,,,,
19,12/01/18 09:00:00 AM,9.21,65.55,,,,
20,12/01/18 09:30:00 AM,9.10,65.98,,,,
21,12/01/18 10:00:00 AM,8.85,69.22,,,,
22,12/01/18 10:30:00 AM,9.07,66.78,,,,
23,12/01/18 11:00:00 AM,9.25,65.05,,,,
24,12/01/18 11:30:00 AM,8.61,70.56,,,,
25,12/01/18 12:00:00 PM,8.89,68.50,,,,
26,12/01/18 12:30:00 PM,9.11,66.24,,,,
27,12/01/18 01:00:00 PM,9.27,64.72,,,,
28,12/01/18 01:30:00 PM,8.83,69.22,,,,
29,12/01/18 02:00:00 PM,9.03,67.03,,,,
30,12/01/18 02:30:00 PM,9.21,65.26,,,,
31,12/01/18 03:00:00 PM,8.53,70.38,,,,
32,12/01/18 03:30:00 PM,8.79,69.48,,,,
33,12/01/18 04:00:00 PM,9.05,66.78,,,,
34,12/01/18 04:30:00 PM,9.26,64.94,,,,
35,12/01/18 05:00:00 PM,8.78,69.44,,,,
36,12/01/18 05:30:00 PM,9.03,67.53,,,,
37,12/01/18 06:00:00 PM,9.23,65.55,,,,
38,12/01/18 06:30:00 PM,9.18,65.59,,,,
39,12/01/18 07:00:00 PM,8.85,69.37,,,,
40,12/01/18 07:30:00 PM,9.09,66.88,,,,
41,12/01/18 08:00:00 PM,9.30,65.05,,,,
42,12/01/18 08:30:00 PM,8.60,70.45,,,,
43,12/01/18 09:00:00 PM,8.91,68.65,,,,
44,12/01/18 09:30:00 PM,9.15,66.34,,,,
45,12/01/18 10:00:00 PM,9.33,64.69,,,,
46,12/01/18 10:30:00 PM,8.77,70.20,,,,
47,12/01/18 11:00:00 PM,9.00,67.86,,,,
48,12/01/18 11:30:00 PM,9.22,65.70,,,,
49,12/02/18 12:00:00 AM,9.36,64.33,,,,
