"Plot Title: 11009652"
"#","Date Time, GMT-06:00","DO conc, mg/L (LGR S/N: 11009652, SEN S/N: 11009652, LBL: DO)","Temp, °F (LGR S/N: 11009652, SEN S/N: 11009652, LBL: Temp)","Coupler Attached (LGR S/N: 11009652)","Host Connected (LGR S/N: 11009652)","Stopped (LGR S/N: 11009652)","End Of File (LGR S/N: 11009652)"
1,12/01/17 12:00:00 AM,13.53,37.33,,,,
2,12/01/17 12:30:00 AM,13.50,37.36,,,,
3,12/01/17 01:00:00 AM,13.39,37.36,,,,
4,12/01/17 01:30:00 AM,13.40,37.36,,,,
5,12/01/17 02:00:00 AM,13.45,37.36,,,,
6,12/01/17 02:30:00 AM,13.44,37.47,,,,
7,12/01/17 03:00:00 AM,13.33,37.40,,,,
8,12/01/17 03:30:00 AM,13.25,37.29,,,,
9,12/01/17 04:00:00 AM,13.31,37.26,,,,
10,12/01/17 04:30:00 AM,13.35,37.33,,,,
11,12/01/17 05:00:00 AM,13.17,37.44,,,,
12,12/01/17 05:30:00 AM,13.05,37.44,,,,
13,12/01/17 06:00:00 AM,13.01,37.36,,,,
14,12/01/17 06:30:00 AM,13.07,37.33,,,,
15,12/01/17 07:00:00 AM,13.13,37.40,,,,
16,12/01/17 07:30:00 AM,13.01,37.22,,,,
17,12/01/17 08:00:00 AM,13.00,37.29,,,,
18,12/01/17 08:30:00 AM,13.07,37.33,,,,
19,12/01/17 09:00:00 AM,13.19,37.40,,,,
20,12/01/17 09:30:00 AM,13.06,37.29,,,,
21,12/01/17 10:00:00 AM,13.08,37.22,,,,
22,12/01/17 10:30:00 AM,13.00,37.36,,,,
23,12/01/17 11:00:00 AM,12.94,37.36,,,,
24,12/01/17 11:30:00 AM,13.04,37.33,,,,
25,12/01/17 12:00:00 PM,13.13,37.33,,,,
26,12/01/17 12:30:00 PM,13.25,37.36,,,,
27,12/01/17 01:00:00 PM,13.21,37.44,,,,
28,12/01/17 01:30:00 PM,14.49,37.47,,,,
29,12/01/17 02:00:00 PM,15.25,37.51,,,,
30,12/01/17 02:30:00 PM,15.54,37.47,,,,
31,12/01/17 03:00:00 PM,15.42,37.40,,,,
32,12/01/17 03:30:00 PM,14.54,37.51,,,,
33,12/01/17 04:00:00 PM,15.02,37.54,,,,
34,12/01/17 04:30:00 PM,13.72,37.62,,,,
35,12/01/17 05:00:00 PM,13.67,37.69,,,,
36,12/01/17 05:30:00 PM,13.62,37.72,,,,
37,12/01/17 06:00:00 PM,13.64,37.72,,,,
38,12/01/17 06:30:00 PM,13.59,37.72,,,,
39,12/01/17 07:00:00 PM,13.64,37.72,,,,
40,12/01/17 07:30:00 PM,13.68,37.69,,,,
41,12/01/17 08:00:00 PM,13.47,37.62,,,,
42,12/01/17 08:30:00 PM,13.45,37.54,,,,
43,12/01/17 09:00:00 PM,13.59,37.47,,,,
44,12/01/17 09:30:00 PM,13.57,37.54,,,,
45,12/01/17 10:00:00 PM,13.56,37.54,,,,
46,12/01/17 10:30:00 PM,13.63,37.62,,,,
47,12/01/17 11:00:00 PM,13.68,37.69,,,,
48,12/01/17 11:30:00 PM,13.86,37.69,,,,
49,12/02/17 12:00:00 AM,13.86,37.69,,,,
50,12/02/17 12:30:00 AM,13.77,37.69,,,,
51,12/02/17 01:00:00 AM,13.69,37.72,,,,
52,12/02/17 01:30:00 AM,13.75,37.72,,,,
53,12/02/17 02:00:00 AM,13.77,37.69,,,,
54,12/02/17 02:30:00 AM,13.82,37.65,,,,
55,12/02/17 03:00:00 AM,13.84,37.62,,,,
56,12/02/17 03:30:00 AM,13.82,37.54,,,,
57,12/02/17 04:00:00 AM,13.87,37.54,,,,
58,12/02/17 04:30:00 AM,13.86,37.58,,,,
59,12/02/17 05:00:00 AM,13.82,37.69,,,,
60,12/02/17 05:30:00 AM,13.76,37.69,,,,
61,12/02/17 06:00:00 AM,13.67,37.65,,,,
62,12/02/17 06:30:00 AM,13.65,37.72,,,,
63,12/02/17 07:00:00 AM,13.58,37.72,,,,
64,12/02/17 07:30:00 AM,13.55,37.65,,,,
65,12/02/17 08:00:00 AM,13.43,37.62,,,,
66,12/02/17 08:30:00 AM,13.23,37.54,,,,
67,12/02/17 09:00:00 AM,13.25,37.58,,,,
68,12/02/17 09:30:00 AM,13.45,37.72,,,,
69,12/02/17 10:00:00 AM,13.50,37.76,,,,
70,12/02/17 10:30:00 AM,13.33,37.62,,,,
71,12/02/17 11:00:00 AM,13.50,37.69,,,,
72,12/02/17 11:30:00 AM,13.55,37.65,,,,
73,12/02/17 12:00:00 PM,13.54,37.69,,,,
74,12/02/17 12:30:00 PM,13.56,37.80,,,,
75,12/02/17 01:00:00 PM,13.54,37.76,,,,
76,12/02/17 01:30:00 PM,13.53,37.80,,,,
77,12/02/17 02:00:00 PM,13.54,37.87,,,,
78,12/02/17 02:30:00 PM,13.55,37.80,,,,
79,12/02/17 03:00:00 PM,13.53,37.83,,,,
80,12/02/17 03:30:00 PM,13.56,37.87,,,,
81,12/02/17 04:00:00 PM,13.55,37.87,,,,
82,12/02/17 04:30:00 PM,13.52,37.87,,,,
83,12/02/17 05:00:00 PM,13.53,37.94,,,,
84,12/02/17 05:30:00 PM,13.49,37.87,,,,
85,12/02/17 06:00:00 PM,13.53,37.94,,,,
86,12/02/17 06:30:00 PM,13.53,37.98,,,,
87,12/02/17 07:00:00 PM,13.54,38.05,,,,
88,12/02/17 07:30:00 PM,13.52,38.05,,,,
89,12/02/17 08:00:00 PM,13.46,38.05,,,,
90,12/02/17 08:30:00 PM,13.41,38.12,,,,
91,12/02/17 09:00:00 PM,13.38,38.05,,,,
92,12/02/17 09:30:00 PM,13.38,38.05,,,,
93,12/02/17 10:00:00 PM,13.41,38.12,,,,
94,12/02/17 10:30:00 PM,13.33,38.12,,,,
95,12/02/17 11:00:00 PM,13.28,38.05,,,,
96,12/02/17 11:30:00 PM,13.36,38.05,,,,
97,12/03/17 12:00:00 AM,13.36,38.01,,,,
98,12/03/17 12:30:00 AM,13.36,38.05,,,,
99,12/03/17 01:00:00 AM,13.44,38.01,,,,
100,12/03/17 01:30:00 AM,13.47,38.05,,,,
101,12/03/17 02:00:00 AM,13.36,38.12,,,,
102,12/03/17 02:30:00 AM,13.26,38.05,,,,
103,12/03/17 03:00:00 AM,13.36,38.01,,,,
104,12/03/17 03:30:00 AM,13.28,37.94,,,,
105,12/03/17 04:00:00 AM,13.41,38.05,,,,
106,12/03/17 04:30:00 AM,13.38,38.08,,,,
107,12/03/17 05:00:00 AM,13.19,38.16,,,,
108,12/03/17 05:30:00 AM,13.04,38.16,,,,
109,12/03/17 06:00:00 AM,12.98,38.16,,,,
110,12/03/17 06:30:00 AM,13.07,38.16,,,,
111,12/03/17 07:00:00 AM,12.99,38.12,,,,
112,12/03/17 07:30:00 AM,12.99,38.23,,,,
113,12/03/17 08:00:00 AM,12.81,38.23,,,,
114,12/03/17 08:30:00 AM,13.39,38.05,,,,
115,12/03/17 09:00:00 AM,13.59,38.05,,,,
116,12/03/17 09:30:00 AM,13.52,37.98,,,,
117,12/03/17 10:00:00 AM,13.45,37.94,,,,
118,12/03/17 10:30:00 AM,13.50,37.90,,,,
119,12/03/17 11:00:00 AM,13.52,37.98,,,,
120,12/03/17 11:30:00 AM,13.44,37.98,,,,
121,12/03/17 12:00:00 PM,13.46,37.98,,,,
