"Plot Title: 11009654"
"#","Date Time, GMT-06:00","DO conc, mg/L (LGR S/N: 11009654, SEN S/N: 11009654, LBL: DO)","Temp, °F (LGR S/N: 11009654, SEN S/N: 11009654, LBL: Temp)","Coupler Attached (LGR S/N: 11009654)","Host Connected (LGR S/N: 11009654)","Stopped (LGR S/N: 11009654)","End Of File (LGR S/N: 11009654)"
1,12/01/18 12:00:00 AM,9.17,66.06,,,,
2,12/01/18 12:30:00 AM,9.34,64.62,,,,
3,12/01/18 01:00:00 AM,8.39,73.76,,,,
4,12/01/18 01:30:00 AM,8.81,69.40,,,,
5,12/01/18 02:00:00 AM,9.13,66.56,,,,
6,12/01/18 02:30:00 AM,9.30,64.94,,,,
7,12/01/18 03:00:00 AM,8.76,70.16,,,,
8,12/01/18 03:30:00 AM,9.05,67.17,,,,
9,12/01/18 04:00:00 AM,9.28,65.08,,,,
10,12/01/18 04:30:00 AM,8.61,71.64,,,,
11,12/01/18 05:00:00 AM,8.96,67.82,,,,
12,12/01/18 05:30:00 AM,9.22,65.59,,,,
13,12/01/18 06:00:00 AM,8.19,74.66,,,,
14,12/01/18 06:30:00 AM,8.74,70.23,,,,
15,12/01/18 07:00:00 AM,9.08,66.88,,,,
16,12/01/18 07:30:00 AM,9.29,64.90,,,,
17,12/01/18 08:00:00 AM,8.50,72.68,,,,
18,12/01/18 08:30:00 AM,8.90,68.43,,,,
19,12/01/18 09:00:00 AM,9.18,65.95,,,,
20,12/01/18 09:30:00 AM,8.83,68.47,,,,
21,12/01/18 10:00:00 AM,8.65,71.35,,,,
22,12/01/18 10:30:00 AM,8.99,67.60,,,,
23,12/01/18 11:00:00 AM,9.23,65.41,,,,
24,12/01/18 11:30:00 AM,8.27,74.48,,,,
25,12/01/18 12:00:00 PM,8.76,70.05,,,,
26,12/01/18 12:30:00 PM,9.07,66.88,,,,
27,12/01/18 01:00:00 PM,9.26,65.01,,,,
28,12/01/18 01:30:00 PM,8.55,72.07,,,,
29,12/01/18 02:00:00 PM,8.91,68.18,,,,
30,12/01/18 02:30:00 PM,9.16,65.73,,,,
31,12/01/18 03:00:00 PM,8.10,75.31,,,,
32,12/01/18 03:30:00 PM,8.65,71.53,,,,
33,12/01/18 04:00:00 PM,9.00,67.68,,,,
34,12/01/18 04:30:00 PM,9.27,65.34,,,,
35,12/01/18 05:00:00 PM,8.50,72.82,,,,
36,12/01/18 05:30:00 PM,8.92,68.86,,,,
37,12/01/18 06:00:00 PM,9.17,66.20,,,,
38,12/01/18 06:30:00 PM,9.04,67.60,,,,
39,12/01/18 07:00:00 PM,8.68,71.64,,,,
40,12/01/18 07:30:00 PM,9.00,67.78,,,,
41,12/01/18 08:00:00 PM,9.23,65.59,,,,
42,12/01/18 08:30:00 PM,8.30,74.62,,,,
43,12/01/18 09:00:00 PM,8.76,70.45,,,,
44,12/01/18 09:30:00 PM,9.07,67.10,,,,
45,12/01/18 10:00:00 PM,9.27,65.16,,,,
