"Plot Title: 11009652"
"#","Date Time, GMT-06:00","DO conc, mg/L (LGR S/N: 11009652, SEN S/N: 11009652, LBL: DO)","Temp, °F (LGR S/N: 11009652, SEN S/N: 11009652, LBL: Temp)","Coupler Attached (LGR S/N: 11009652)","Host Connected (LGR S/N: 11009652)","Stopped (LGR S/N: 11009652)","End Of File (LGR S/N: 11009652)"
104,12/03/18 03:30:00 AM,9.37,69.26,,,,
105,12/03/18 04:00:00 AM,9.62,66.74,,,,
106,12/03/18 04:30:00 AM,9.37,69.30,,,,
107,12/03/18 05:00:00 AM,9.63,66.70,,,,
108,12/03/18 05:30:00 AM,9.38,69.30,,,,
109,12/03/18 06:00:00 AM,9.65,66.56,,,,
110,12/03/18 06:30:00 AM,9.01,73.36,,,,
111,12/03/18 07:00:00 AM,9.38,69.22,,,,
112,12/03/18 07:30:00 AM,9.68,66.34,,,,
113,12/03/18 08:00:00 AM,9.40,69.37,,,,
114,12/03/18 08:30:00 AM,9.64,66.96,,,,
115,12/03/18 09:00:00 AM,9.05,72.82,,,,
116,12/03/18 09:30:00 AM,12.89,41.07,,,,
117,12/03/18 10:00:00 AM,13.99,33.62,,,,
118,12/03/18 10:30:00 AM,8.65,37.08,,,,
119,12/03/18 11:00:00 AM,8.08,38.37,,,,
120,12/03/18 11:30:00 AM,7.65,38.48,,,,
121,12/03/18 12:00:00 PM,7.44,38.44,,,,
122,12/03/18 12:30:00 PM,7.35,38.48,,,,
123,12/03/18 01:00:00 PM,7.11,38.48,,,,
124,12/03/18 01:30:00 PM,7.01,38.52,,,,
125,12/03/18 02:00:00 PM,6.74,38.55,,,,
126,12/03/18 02:30:00 PM,6.52,38.48,,,,
127,12/03/18 03:00:00 PM,6.41,38.48,,,,
128,12/03/18 03:30:00 PM,6.71,38.48,,,,
129,12/03/18 04:00:00 PM,7.00,38.52,,,,
130,12/03/18 04:30:00 PM,6.97,38.52,,,,
131,12/03/18 05:00:00 PM,7.06,38.55,,,,
132,12/03/18 05:30:00 PM,7.21,38.52,,,,
133,12/03/18 06:00:00 PM,7.21,38.55,,,,
134,12/03/18 06:30:00 PM,7.15,38.52,,,,
135,12/03/18 07:00:00 PM,6.90,38.44,,,,
136,12/03/18 07:30:00 PM,6.63,38.44,,,,
137,12/03/18 08:00:00 PM,6.41,38.44,,,,
138,12/03/18 08:30:00 PM,6.29,38.41,,,,
139,12/03/18 09:00:00 PM,6.24,38.44,,,,
140,12/03/18 09:30:00 PM,6.08,38.44,,,,
141,12/03/18 10:00:00 PM,5.76,38.41,,,,
142,12/03/18 10:30:00 PM,5.59,38.37,,,,
143,12/03/18 11:00:00 PM,5.35,38.44,,,,
144,12/03/18 11:30:00 PM,5.37,38.44,,,,
145,12/04/18 12:00:00 AM,5.47,38.48,,,,
146,12/04/18 12:30:00 AM,5.40,38.48,,,,
147,12/04/18 01:00:00 AM,6.48,38.37,,,,
148,12/04/18 01:30:00 AM,6.65,38.30,,,,
149,12/04/18 02:00:00 AM,6.60,38.34,,,,
150,12/04/18 02:30:00 AM,6.41,38.34,,,,
151,12/04/18 03:00:00 AM,6.14,38.37,,,,
152,12/04/18 03:30:00 AM,5.92,38.37,,,,
153,12/04/18 04:00:00 AM,5.85,38.37,,,,
154,12/04/18 04:30:00 AM,6.44,38.41,,,,
155,12/04/18 05:00:00 AM,6.24,38.52,,,,
156,12/04/18 05:30:00 AM,5.62,38.55,,,,
157,12/04/18 06:00:00 AM,4.72,38.52,,,,
158,12/04/18 06:30:00 AM,3.88,38.37,,,,
159,12/04/18 07:00:00 AM,3.64,38.41,,,,
160,12/04/18 07:30:00 AM,3.74,38.37,,,,
161,12/04/18 08:00:00 AM,4.00,38.44,,,,
162,12/04/18 08:30:00 AM,4.17,38.55,,,,
163,12/04/18 09:00:00 AM,4.17,38.52,,,,
164,12/04/18 09:30:00 AM,4.05,38.52,,,,
165,12/04/18 10:00:00 AM,4.07,38.55,,,,
166,12/04/18 10:30:00 AM,3.98,38.55,,,,
