Plot Title: 11009654,,,,,,,
#,"Date Time, GMT-06:00","DO conc, mg/L (LGR S/N: 11009654, SEN S/N: 11009654, LBL: DO)","Temp, °F (LGR S/N: 11009654, SEN S/N: 11009654, LBL: Temp)",Coupler Attached (LGR S/N: 11009654),Host Connected (LGR S/N: 11009654),Stopped (LGR S/N: 11009654),End Of File (LGR S/N: 11009654)
102,12/4/2019 17:30,14.88,36.68,2.6,,,
103,12/4/2019 18:00,14.91,36.86,2.7,,,
104,12/4/2019 18:30,14.84,36.97,2.761111111,,,
105,12/4/2019 19:00,14.8,37.04,2.8,,,
106,12/4/2019 19:30,14.82,37.11,2.838888889,,,
107,12/4/2019 20:00,14.82,37.11,2.838888889,,,
108,12/4/2019 20:30,14.87,37.11,2.838888889,,,
109,12/4/2019 21:00,14.91,37.15,2.861111111,,,
110,12/4/2019 21:30,14.88,37.08,2.822222222,,,
111,12/4/2019 22:00,14.84,37.08,2.822222222,,,
112,12/4/2019 22:30,14.81,37.11,2.838888889,,,
113,12/4/2019 23:00,14.79,37.11,2.838888889,,,
114,12/4/2019 23:30,14.77,37.15,2.861111111,,,
115,12/5/2019 0:00,14.71,37.15,2.861111111,,,
116,12/5/2019 0:30,14.69,37.15,2.861111111,,,
117,12/5/2019 1:00,14.66,37.15,2.861111111,,,
118,12/5/2019 1:30,14.65,37.15,2.861111111,,,
119,12/5/2019 2:00,14.67,37.15,2.861111111,,,
120,12/5/2019 2:30,14.63,37.11,2.838888889,,,
121,12/5/2019 3:00,14.75,37.11,2.838888889,,,
122,12/5/2019 3:30,14.8,37.11,2.838888889,,,
123,12/5/2019 4:00,14.79,37.11,2.838888889,,,
124,12/5/2019 4:30,14.83,37.15,2.861111111,,,
125,12/5/2019 5:00,14.83,37.15,2.861111111,,,
126,12/5/2019 5:30,14.81,37.15,2.861111111,,,
127,12/5/2019 6:00,14.71,37.15,2.861111111,,,
128,12/5/2019 6:30,14.54,37.15,2.861111111,,,
129,12/5/2019 7:00,14.48,37.15,2.861111111,,,
130,12/5/2019 7:30,14.31,37.22,2.9,,,
131,12/5/2019 8:00,14.31,37.22,2.9,,,
132,12/5/2019 8:30,14.2,37.18,2.877777778,,,
133,12/5/2019 9:00,14.01,37,2.777777778,,,
134,12/5/2019 9:30,13.98,36.79,2.661111111,,,
135,12/5/2019 10:00,13.99,36.57,2.538888889,,,
136,12/5/2019 10:30,14.03,36.64,2.577777778,,,
137,12/5/2019 11:00,14.05,36.54,2.522222222,,,
138,12/5/2019 11:30,13.93,36.61,2.561111111,,,
139,12/5/2019 12:00,14,36.61,2.561111111,,,
140,12/5/2019 12:30,13.91,36.54,2.522222222,,,
141,12/5/2019 13:00,13.95,36.5,2.5,,,
142,12/5/2019 13:30,14,36.57,2.538888889,,,
143,12/5/2019 14:00,14.1,36.54,2.522222222,,,
144,12/5/2019 14:30,14.13,36.54,2.522222222,,,
145,12/5/2019 15:00,14.2,36.46,2.477777778,,,
146,12/5/2019 15:30,14.17,36.46,2.477777778,,,
147,12/5/2019 16:00,14.16,36.25,2.361111111,,,
148,12/5/2019 16:30,14.17,36.28,2.377777778,,,
149,12/5/2019 17:00,14.18,36.36,2.422222222,,,
150,12/5/2019 17:30,14.21,36.39,2.438888889,,,
151,12/5/2019 18:00,14.25,36.39,2.438888889,,,
152,12/5/2019 18:30,14.25,36.46,2.477777778,,,
153,12/5/2019 19:00,14.31,36.5,2.5,,,
154,12/5/2019 19:30,14.31,36.54,2.522222222,,,
155,12/5/2019 20:00,14.31,36.54,2.522222222,,,
156,12/5/2019 20:30,14.35,36.57,2.538888889,,,
157,12/5/2019 21:00,14.35,36.61,2.561111111,,,
158,12/5/2019 21:30,14.34,36.64,2.577777778,,,
