"Plot Title: 11009654"
"#","Date Time, GMT-06:00","DO conc, mg/L (LGR S/N: 11009654, SEN S/N: 11009654, LBL: DO)","Temp, °F (LGR S/N: 11009654, SEN S/N: 11009654, LBL: Temp)","Coupler Attached (LGR S/N: 11009654)","Host Connected (LGR S/N: 11009654)","Stopped (LGR S/N: 11009654)","End Of File (LGR S/N: 11009654)"
1,12/01/17 12:00:00 AM,13.65,36.75,,,,
2,12/01/17 12:30:00 AM,13.65,36.72,,,,
3,12/01/17 01:00:00 AM,13.64,36.68,,,,
4,12/01/17 01:30:00 AM,13.63,36.72,,,,
5,12/01/17 02:00:00 AM,13.64,36.64,,,,
6,12/01/17 02:30:00 AM,13.62,36.68,,,,
7,12/01/17 03:00:00 AM,13.54,36.75,,,,
8,12/01/17 03:30:00 AM,13.49,36.72,,,,
9,12/01/17 04:00:00 AM,13.49,36.79,,,,
10,12/01/17 04:30:00 AM,13.53,36.72,,,,
11,12/01/17 05:00:00 AM,13.52,36.72,,,,
12,12/01/17 05:30:00 AM,13.42,36.86,,,,
13,12/01/17 06:00:00 AM,13.37,36.82,,,,
14,12/01/17 06:30:00 AM,13.36,36.79,,,,
15,12/01/17 07:00:00 AM,13.30,36.64,,,,
16,12/01/17 07:30:00 AM,13.26,36.68,,,,
17,12/01/17 08:00:00 AM,13.16,36.50,,,,
18,12/01/17 08:30:00 AM,13.12,36.43,,,,
19,12/01/17 09:00:00 AM,13.11,36.10,,,,
20,12/01/17 09:30:00 AM,12.99,36.54,,,,
21,12/01/17 10:00:00 AM,12.66,36.28,,,,
22,12/01/17 10:30:00 AM,12.74,35.67,,,,
23,12/01/17 11:00:00 AM,12.90,35.46,,,,
24,12/01/17 11:30:00 AM,13.03,35.38,,,,
25,12/01/17 12:00:00 PM,13.10,35.46,,,,
26,12/01/17 12:30:00 PM,13.13,35.56,,,,
27,12/01/17 01:00:00 PM,13.19,35.67,,,,
28,12/01/17 01:30:00 PM,13.32,36.00,,,,
29,12/01/17 02:00:00 PM,13.53,36.10,,,,
30,12/01/17 02:30:00 PM,13.55,36.25,,,,
31,12/01/17 03:00:00 PM,13.57,36.39,,,,
32,12/01/17 03:30:00 PM,13.50,36.43,,,,
33,12/01/17 04:00:00 PM,13.56,36.54,,,,
34,12/01/17 04:30:00 PM,13.64,36.64,,,,
35,12/01/17 05:00:00 PM,13.72,36.79,,,,
36,12/01/17 05:30:00 PM,13.85,36.93,,,,
37,12/01/17 06:00:00 PM,14.12,37.11,,,,
38,12/01/17 06:30:00 PM,14.57,37.29,,,,
39,12/01/17 07:00:00 PM,14.69,37.40,,,,
40,12/01/17 07:30:00 PM,14.54,37.44,,,,
41,12/01/17 08:00:00 PM,14.39,37.44,,,,
42,12/01/17 08:30:00 PM,14.22,37.44,,,,
43,12/01/17 09:00:00 PM,14.01,37.33,,,,
44,12/01/17 09:30:00 PM,13.89,37.22,,,,
45,12/01/17 10:00:00 PM,13.79,37.18,,,,
46,12/01/17 10:30:00 PM,13.75,37.22,,,,
47,12/01/17 11:00:00 PM,13.72,37.26,,,,
48,12/01/17 11:30:00 PM,13.70,37.33,,,,
49,12/02/17 12:00:00 AM,13.85,37.47,,,,
50,12/02/17 12:30:00 AM,13.55,37.47,,,,
51,12/02/17 01:00:00 AM,13.33,37.47,,,,
52,12/02/17 01:30:00 AM,13.23,37.44,,,,
53,12/02/17 02:00:00 AM,13.28,37.44,,,,
54,12/02/17 02:30:00 AM,13.36,37.36,,,,
55,12/02/17 03:00:00 AM,13.35,37.29,,,,
56,12/02/17 03:30:00 AM,13.28,37.26,,,,
57,12/02/17 04:00:00 AM,13.20,37.26,,,,
58,12/02/17 04:30:00 AM,13.17,37.26,,,,
59,12/02/17 05:00:00 AM,13.15,37.26,,,,
60,12/02/17 05:30:00 AM,13.06,37.26,,,,
61,12/02/17 06:00:00 AM,13.01,37.29,,,,
62,12/02/17 06:30:00 AM,12.98,37.29,,,,
63,12/02/17 07:00:00 AM,12.92,37.26,,,,
64,12/02/17 07:30:00 AM,12.90,37.22,,,,
65,12/02/17 08:00:00 AM,12.90,37.11,,,,
66,12/02/17 08:30:00 AM,12.85,37.22,,,,
67,12/02/17 09:00:00 AM,12.75,36.97,,,,
68,12/02/17 09:30:00 AM,12.74,36.46,,,,
69,12/02/17 10:00:00 AM,12.66,36.10,,,,
70,12/02/17 10:30:00 AM,12.67,36.00,,,,
71,12/02/17 11:00:00 AM,12.73,35.96,,,,
72,12/02/17 11:30:00 AM,12.76,36.00,,,,
73,12/02/17 12:00:00 PM,12.83,36.03,,,,
74,12/02/17 12:30:00 PM,12.86,36.10,,,,
75,12/02/17 01:00:00 PM,13.03,36.28,,,,
76,12/02/17 01:30:00 PM,13.11,36.46,,,,
77,12/02/17 02:00:00 PM,13.29,36.72,,,,
78,12/02/17 02:30:00 PM,13.59,37.08,,,,
79,12/02/17 03:00:00 PM,13.77,37.29,,,,
80,12/02/17 03:30:00 PM,13.84,37.36,,,,
81,12/02/17 04:00:00 PM,13.82,37.33,,,,
82,12/02/17 04:30:00 PM,13.81,37.36,,,,
83,12/02/17 05:00:00 PM,13.84,37.40,,,,
84,12/02/17 05:30:00 PM,13.97,37.51,,,,
85,12/02/17 06:00:00 PM,14.02,37.54,,,,
86,12/02/17 06:30:00 PM,14.04,37.51,,,,
87,12/02/17 07:00:00 PM,14.04,37.47,,,,
88,12/02/17 07:30:00 PM,14.01,37.36,,,,
89,12/02/17 08:00:00 PM,14.01,37.22,,,,
90,12/02/17 08:30:00 PM,13.99,37.18,,,,
91,12/02/17 09:00:00 PM,13.97,37.11,,,,
92,12/02/17 09:30:00 PM,13.92,37.15,,,,
93,12/02/17 10:00:00 PM,13.90,37.08,,,,
94,12/02/17 10:30:00 PM,13.86,36.97,,,,
95,12/02/17 11:00:00 PM,13.83,37.00,,,,
96,12/02/17 11:30:00 PM,13.84,37.08,,,,
97,12/03/17 12:00:00 AM,13.85,37.22,,,,
98,12/03/17 12:30:00 AM,13.82,37.15,,,,
99,12/03/17 01:00:00 AM,13.89,37.26,,,,
100,12/03/17 01:30:00 AM,13.89,37.26,,,,
101,12/03/17 02:00:00 AM,13.86,37.18,,,,
102,12/03/17 02:30:00 AM,13.83,37.15,,,,
103,12/03/17 03:00:00 AM,13.81,37.11,,,,
104,12/03/17 03:30:00 AM,13.79,37.04,,,,
105,12/03/17 04:00:00 AM,13.77,37.11,,,,
