"Plot Title: 11009654"
"#","Date Time, GMT-06:00","DO conc, mg/L (LGR S/N: 11009654, SEN S/N: 11009654)","Temp, °F (LGR S/N: 11009654, SEN S/N: 11009654)","DO Adj Conc, mg/L (LGR S/N: 11009654)","Coupler Attached (LGR S/N: 11009654)","Host Connected (LGR S/N: 11009654)","Coupler Detached (LGR S/N: 11009654)","End Of File (LGR S/N: 11009654)"
1,12/01/16 12:00:00 AM,12.68,40.68,,,,,
2,12/01/16 12:30:00 AM,12.67,40.68,,,,,
3,12/01/16 01:00:00 AM,12.89,40.68,,,,,
4,12/01/16 01:30:00 AM,12.66,40.68,,,,,
5,12/01/16 02:00:00 AM,12.65,40.64,,,,,
6,12/01/16 02:30:00 AM,12.82,40.64,,,,,
7,12/01/16 03:00:00 AM,12.66,40.64,,,,,
8,12/01/16 03:30:00 AM,12.66,40.64,,,,,
9,12/01/16 04:00:00 AM,12.69,40.64,,,,,
10,12/01/16 04:30:00 AM,12.61,40.64,,,,,
11,12/01/16 05:00:00 AM,12.77,40.64,,,,,
12,12/01/16 05:30:00 AM,12.69,40.60,,,,,
13,12/01/16 06:00:00 AM,12.69,40.60,,,,,
14,12/01/16 06:30:00 AM,12.69,40.57,,,,,
15,12/01/16 07:00:00 AM,12.66,40.53,,,,,
16,12/01/16 07:30:00 AM,12.45,40.53,,,,,
17,12/01/16 08:00:00 AM,12.41,40.50,,,,,
18,12/01/16 08:30:00 AM,12.67,40.50,,,,,
19,12/01/16 09:00:00 AM,12.47,40.46,,,,,
20,12/01/16 09:30:00 AM,12.39,40.42,,,,,
21,12/01/16 10:00:00 AM,12.27,40.42,,,,,
22,12/01/16 10:30:00 AM,12.38,40.46,,,,,
23,12/01/16 11:00:00 AM,12.48,40.46,,,,,
24,12/01/16 11:30:00 AM,12.39,40.46,,,,,
25,12/01/16 12:00:00 PM,12.40,40.46,,,,,
26,12/01/16 12:30:00 PM,12.47,40.46,,,,,
27,12/01/16 01:00:00 PM,12.60,40.46,,,,,
28,12/01/16 01:30:00 PM,12.77,40.50,,,,,
29,12/01/16 02:00:00 PM,12.76,40.50,,,,,
30,12/01/16 02:30:00 PM,12.84,40.50,,,,,
31,12/01/16 03:00:00 PM,12.90,40.50,,,,,
32,12/01/16 03:30:00 PM,13.15,40.57,,,,,
33,12/01/16 04:00:00 PM,13.35,40.60,,,,,
34,12/01/16 04:30:00 PM,13.54,40.60,,,,,
35,12/01/16 05:00:00 PM,13.58,40.60,,,,,
36,12/01/16 05:30:00 PM,13.50,40.57,,,,,
37,12/01/16 06:00:00 PM,13.55,40.53,,,,,
38,12/01/16 06:30:00 PM,13.40,40.50,,,,,
39,12/01/16 07:00:00 PM,13.32,40.46,,,,,
40,12/01/16 07:30:00 PM,13.27,40.46,,,,,
41,12/01/16 08:00:00 PM,13.23,40.42,,,,,
42,12/01/16 08:30:00 PM,13.12,40.42,,,,,
43,12/01/16 09:00:00 PM,13.17,40.42,,,,,
44,12/01/16 09:30:00 PM,13.05,40.39,,,,,
45,12/01/16 10:00:00 PM,13.08,40.35,,,,,
46,12/01/16 10:30:00 PM,12.88,40.32,,,,,
47,12/01/16 11:00:00 PM,12.89,40.32,,,,,
48,12/01/16 11:30:00 PM,12.86,40.28,,,,,
49,12/02/16 12:00:00 AM,12.81,40.28,,,,,
50,12/02/16 12:30:00 AM,12.85,40.24,,,,,
51,12/02/16 01:00:00 AM,12.89,40.24,,,,,
52,12/02/16 01:30:00 AM,12.81,40.17,,,,,
53,12/02/16 02:00:00 AM,12.89,40.14,,,,,
54,12/02/16 02:30:00 AM,12.84,40.14,,,,,
55,12/02/16 03:00:00 AM,12.91,40.06,,,,,
56,12/02/16 03:30:00 AM,12.75,39.99,,,,,
57,12/02/16 04:00:00 AM,12.78,39.96,,,,,
58,12/02/16 04:30:00 AM,12.81,39.92,,,,,
59,12/02/16 05:00:00 AM,12.63,39.92,,,,,
60,12/02/16 05:30:00 AM,12.67,39.92,,,,,
61,12/02/16 06:00:00 AM,12.69,39.85,,,,,
62,12/02/16 06:30:00 AM,12.66,39.74,,,,,
63,12/02/16 07:00:00 AM,12.71,39.70,,,,,
64,12/02/16 07:30:00 AM,12.67,39.67,,,,,
65,12/02/16 08:00:00 AM,12.73,39.63,,,,,
66,12/02/16 08:30:00 AM,12.66,39.49,,,,,
67,12/02/16 09:00:00 AM,12.61,39.24,,,,,
68,12/02/16 09:30:00 AM,12.49,39.20,,,,,
69,12/02/16 10:00:00 AM,12.44,39.20,,,,,
70,12/02/16 10:30:00 AM,12.48,39.24,,,,,
71,12/02/16 11:00:00 AM,12.54,39.24,,,,,
72,12/02/16 11:30:00 AM,12.53,39.27,,,,,
73,12/02/16 12:00:00 PM,12.63,39.24,,,,,
74,12/02/16 12:30:00 PM,12.78,39.27,,,,,
75,12/02/16 01:00:00 PM,12.81,39.34,,,,,
76,12/02/16 01:30:00 PM,12.91,39.34,,,,,
77,12/02/16 02:00:00 PM,12.84,39.31,,,,,
78,12/02/16 02:30:00 PM,12.87,39.31,,,,,
79,12/02/16 03:00:00 PM,12.99,39.34,,,,,
80,12/02/16 03:30:00 PM,13.02,39.42,,,,,
81,12/02/16 04:00:00 PM,13.49,39.56,,,,,
82,12/02/16 04:30:00 PM,13.69,39.67,,,,,
83,12/02/16 05:00:00 PM,13.79,39.70,,,,,
84,12/02/16 05:30:00 PM,13.69,39.67,,,,,
85,12/02/16 06:00:00 PM,13.58,39.63,,,,,
86,12/02/16 06:30:00 PM,13.55,39.60,,,,,
87,12/02/16 07:00:00 PM,13.51,39.56,,,,,
88,12/02/16 07:30:00 PM,13.44,39.49,,,,,
89,12/02/16 08:00:00 PM,13.44,39.49,,,,,
90,12/02/16 08:30:00 PM,13.38,39.49,,,,,
91,12/02/16 09:00:00 PM,13.44,39.49,,,,,
92,12/02/16 09:30:00 PM,13.35,39.49,,,,,
93,12/02/16 10:00:00 PM,13.45,39.42,,,,,
94,12/02/16 10:30:00 PM,13.41,39.34,,,,,
95,12/02/16 11:00:00 PM,13.30,39.34,,,,,
96,12/02/16 11:30:00 PM,13.18,39.31,,,,,
97,12/03/16 12:00:00 AM,13.14,39.31,,,,,
98,12/03/16 12:30:00 AM,13.07,39.31,,,,,
99,12/03/16 01:00:00 AM,13.05,39.31,,,,,
100,12/03/16 01:30:00 AM,13.02,39.31,,,,,
101,12/03/16 02:00:00 AM,12.96,39.31,,,,,
102,12/03/16 02:30:00 AM,12.94,39.24,,,,,
103,12/03/16 03:00:00 AM,12.90,39.13,,,,,
104,12/03/16 03:30:00 AM,12.86,39.09,,,,,
105,12/03/16 04:00:00 AM,12.80,39.09,,,,,
106,12/03/16 04:30:00 AM,12.77,39.09,,,,,
107,12/03/16 05:00:00 AM,12.67,39.06,,,,,
108,12/03/16 05:30:00 AM,12.62,39.06,,,,,
109,12/03/16 06:00:00 AM,12.56,38.98,,,,,
110,12/03/16 06:30:00 AM,12.56,38.88,,,,,
111,12/03/16 07:00:00 AM,12.53,38.88,,,,,
112,12/03/16 07:30:00 AM,12.51,38.95,,,,,
113,12/03/16 08:00:00 AM,12.48,38.91,,,,,
114,12/03/16 08:30:00 AM,12.44,38.95,,,,,
115,12/03/16 09:00:00 AM,12.41,38.91,,,,,
116,12/03/16 09:30:00 AM,12.40,38.84,,,,,
117,12/03/16 10:00:00 AM,12.43,38.80,,,,,
118,12/03/16 10:30:00 AM,12.47,38.73,,,,,
119,12/03/16 11:00:00 AM,12.50,38.70,,,,,
120,12/03/16 11:30:00 AM,12.59,38.84,,,,,
121,12/03/16 12:00:00 PM,12.62,38.91,,,,,
122,12/03/16 12:30:00 PM,12.63,38.91,,,,,
123,12/03/16 01:00:00 PM,12.84,38.95,,,,,
124,12/03/16 01:30:00 PM,13.04,39.13,,,,,
125,12/03/16 02:00:00 PM,13.15,39.24,,,,,
126,12/03/16 02:30:00 PM,13.39,39.27,,,,,
127,12/03/16 03:00:00 PM,13.71,39.42,,,,,
128,12/03/16 03:30:00 PM,13.93,39.49,,,,,
129,12/03/16 04:00:00 PM,14.17,39.60,,,,,
130,12/03/16 04:30:00 PM,14.31,39.60,,,,,
131,12/03/16 05:00:00 PM,14.50,39.60,,,,,
132,12/03/16 05:30:00 PM,14.60,39.56,,,,,
133,12/03/16 06:00:00 PM,14.59,39.45,,,,,
134,12/03/16 06:30:00 PM,14.44,39.38,,,,,
135,12/03/16 07:00:00 PM,13.96,39.31,,,,,
136,12/03/16 07:30:00 PM,13.93,39.27,,,,,
137,12/03/16 08:00:00 PM,13.70,39.20,,,,,
138,12/03/16 08:30:00 PM,13.79,39.09,,,,,
139,12/03/16 09:00:00 PM,13.68,38.95,,,,,
140,12/03/16 09:30:00 PM,13.63,38.77,,,,,
141,12/03/16 10:00:00 PM,13.45,38.66,,,,,
142,12/03/16 10:30:00 PM,13.23,38.62,,,,,
143,12/03/16 11:00:00 PM,13.09,38.66,,,,,
144,12/03/16 11:30:00 PM,13.09,38.62,,,,,
145,12/04/16 12:00:00 AM,13.13,38.52,,,,,
146,12/04/16 12:30:00 AM,13.15,38.41,,,,,
147,12/04/16 01:00:00 AM,12.90,38.44,,,,,
148,12/04/16 01:30:00 AM,12.91,38.44,,,,,
149,12/04/16 02:00:00 AM,12.90,38.30,,,,,
150,12/04/16 02:30:00 AM,12.90,38.26,,,,,
151,12/04/16 03:00:00 AM,12.91,38.19,,,,,
152,12/04/16 03:30:00 AM,12.89,38.16,,,,,
153,12/04/16 04:00:00 AM,12.87,37.98,,,,,
154,12/04/16 04:30:00 AM,12.86,37.80,,,,,
155,12/04/16 05:00:00 AM,12.78,37.69,,,,,
156,12/04/16 05:30:00 AM,12.77,37.65,,,,,
157,12/04/16 06:00:00 AM,12.75,37.72,,,,,
158,12/04/16 06:30:00 AM,12.66,37.90,,,,,
159,12/04/16 07:00:00 AM,12.62,37.90,,,,,
160,12/04/16 07:30:00 AM,12.60,37.72,,,,,
161,12/04/16 08:00:00 AM,12.57,37.83,,,,,
162,12/04/16 08:30:00 AM,12.56,37.72,,,,,
163,12/04/16 09:00:00 AM,12.57,37.72,,,,,
164,12/04/16 09:30:00 AM,12.58,37.62,,,,,
165,12/04/16 10:00:00 AM,12.57,37.69,,,,,
166,12/04/16 10:30:00 AM,12.60,37.76,,,,,
167,12/04/16 11:00:00 AM,12.62,37.87,,,,,
168,12/04/16 11:30:00 AM,12.70,37.90,,,,,
169,12/04/16 12:00:00 PM,12.80,37.90,,,,,
170,12/04/16 12:30:00 PM,12.90,37.87,,,,,
171,12/04/16 01:00:00 PM,13.04,37.87,,,,,
172,12/04/16 01:30:00 PM,13.09,37.94,,,,,
173,12/04/16 02:00:00 PM,13.18,37.94,,,,,
174,12/04/16 02:30:00 PM,13.26,37.94,,,,,
175,12/04/16 03:00:00 PM,13.39,37.94,,,,,
176,12/04/16 03:30:00 PM,13.50,37.87,,,,,
177,12/04/16 04:00:00 PM,13.59,37.65,,,,,
178,12/04/16 04:30:00 PM,14.04,37.76,,,,,
179,12/04/16 05:00:00 PM,13.94,38.05,,,,,
180,12/04/16 05:30:00 PM,13.86,38.19,,,,,
181,12/04/16 06:00:00 PM,13.75,38.30,,,,,
182,12/04/16 06:30:00 PM,13.61,38.30,,,,,
183,12/04/16 07:00:00 PM,13.40,38.41,,,,,
184,12/04/16 07:30:00 PM,13.15,38.55,,,,,
185,12/04/16 08:00:00 PM,13.09,38.55,,,,,
186,12/04/16 08:30:00 PM,13.15,38.41,,,,,
187,12/04/16 09:00:00 PM,12.97,38.52,,,,,
188,12/04/16 09:30:00 PM,12.97,38.41,,,,,
189,12/04/16 10:00:00 PM,13.00,38.23,,,,,
190,12/04/16 10:30:00 PM,12.89,38.19,,,,,
191,12/04/16 11:00:00 PM,12.70,38.16,,,,,
192,12/04/16 11:30:00 PM,12.65,38.48,,,,,
193,12/05/16 12:00:00 AM,12.59,38.73,,,,,
194,12/05/16 12:30:00 AM,12.59,38.80,,,,,
