"Plot Title: 11009652"
"#","Date Time, GMT-06:00","DO conc, mg/L (LGR S/N: 11009652, SEN S/N: 11009652, LBL: DO)","Temp, °F (LGR S/N: 11009652, SEN S/N: 11009652, LBL: Temp)","Coupler Attached (LGR S/N: 11009652)","Host Connected (LGR S/N: 11009652)","Stopped (LGR S/N: 11009652)","End Of File (LGR S/N: 11009652)"
1,12/02/19 03:00:00 PM,12.17,35.67,,,,
2,12/02/19 03:30:00 PM,12.20,35.67,,,,
3,12/02/19 04:00:00 PM,12.26,35.67,,,,
4,12/02/19 04:30:00 PM,12.03,35.67,,,,
5,12/02/19 05:00:00 PM,12.00,35.67,,,,
6,12/02/19 05:30:00 PM,11.78,35.71,,,,
7,12/02/19 06:00:00 PM,11.12,35.78,,,,
8,12/02/19 06:30:00 PM,10.60,35.74,,,,
9,12/02/19 07:00:00 PM,11.18,35.82,,,,
10,12/02/19 07:30:00 PM,11.73,35.89,,,,
11,12/02/19 08:00:00 PM,11.71,35.96,,,,
12,12/02/19 08:30:00 PM,11.68,35.92,,,,
13,12/02/19 09:00:00 PM,11.81,36.00,,,,
14,12/02/19 09:30:00 PM,12.22,36.03,,,,
15,12/02/19 10:00:00 PM,12.24,36.07,,,,
16,12/02/19 10:30:00 PM,12.18,36.18,,,,
17,12/02/19 11:00:00 PM,12.37,36.07,,,,
18,12/02/19 11:30:00 PM,12.31,36.07,,,,
19,12/03/19 12:00:00 AM,11.99,36.21,,,,
20,12/03/19 12:30:00 AM,12.13,36.25,,,,
21,12/03/19 01:00:00 AM,12.20,36.25,,,,
22,12/03/19 01:30:00 AM,12.00,36.32,,,,
23,12/03/19 02:00:00 AM,11.78,36.21,,,,
24,12/03/19 02:30:00 AM,11.77,36.10,,,,
25,12/03/19 03:00:00 AM,11.31,36.25,,,,
26,12/03/19 03:30:00 AM,10.96,36.18,,,,
27,12/03/19 04:00:00 AM,10.45,36.18,,,,
28,12/03/19 04:30:00 AM,10.88,36.14,,,,
29,12/03/19 05:00:00 AM,11.32,36.10,,,,
30,12/03/19 05:30:00 AM,9.67,36.18,,,,
31,12/03/19 06:00:00 AM,9.47,36.18,,,,
32,12/03/19 06:30:00 AM,10.63,36.28,,,,
33,12/03/19 07:00:00 AM,9.17,36.28,,,,
34,12/03/19 07:30:00 AM,10.22,36.46,,,,
35,12/03/19 08:00:00 AM,11.48,36.28,,,,
36,12/03/19 08:30:00 AM,11.61,36.25,,,,
37,12/03/19 09:00:00 AM,12.59,36.14,,,,
38,12/03/19 09:30:00 AM,12.39,36.10,,,,
39,12/03/19 10:00:00 AM,12.02,36.10,,,,
40,12/03/19 10:30:00 AM,12.18,36.18,,,,
41,12/03/19 11:00:00 AM,12.01,36.21,,,,
42,12/03/19 11:30:00 AM,12.37,36.18,,,,
43,12/03/19 12:00:00 PM,12.20,36.18,,,,
44,12/03/19 12:30:00 PM,11.87,36.25,,,,
45,12/03/19 01:00:00 PM,12.22,36.25,,,,
