"Plot Title: 11009653"
"#","Date Time, GMT-06:00","DO conc, mg/L (LGR S/N: 11009653, SEN S/N: 11009653, LBL: DO)","Temp, °F (LGR S/N: 11009653, SEN S/N: 11009653, LBL: Temp)","Coupler Attached (LGR S/N: 11009653)","Host Connected (LGR S/N: 11009653)","Stopped (LGR S/N: 11009653)","End Of File (LGR S/N: 11009653)"
1,12/01/17 12:00:00 AM,15.16,36.64,,,,
2,12/01/17 12:30:00 AM,15.18,36.57,,,,
3,12/01/17 01:00:00 AM,15.14,36.43,,,,
4,12/01/17 01:30:00 AM,15.10,36.32,,,,
5,12/01/17 02:00:00 AM,15.13,36.14,,,,
6,12/01/17 02:30:00 AM,15.04,36.07,,,,
7,12/01/17 03:00:00 AM,15.03,36.03,,,,
8,12/01/17 03:30:00 AM,15.01,35.96,,,,
9,12/01/17 04:00:00 AM,14.91,35.85,,,,
10,12/01/17 04:30:00 AM,14.96,35.71,,,,
11,12/01/17 05:00:00 AM,14.87,35.67,,,,
12,12/01/17 05:30:00 AM,14.90,35.67,,,,
13,12/01/17 06:00:00 AM,14.89,35.56,,,,
14,12/01/17 06:30:00 AM,14.85,35.49,,,,
15,12/01/17 07:00:00 AM,14.86,35.46,,,,
16,12/01/17 07:30:00 AM,14.66,35.42,,,,
17,12/01/17 08:00:00 AM,14.75,35.31,,,,
18,12/01/17 08:30:00 AM,14.75,35.35,,,,
19,12/01/17 09:00:00 AM,14.75,35.31,,,,
20,12/01/17 09:30:00 AM,14.71,35.38,,,,
21,12/01/17 10:00:00 AM,14.68,35.42,,,,
22,12/01/17 10:30:00 AM,14.59,35.49,,,,
23,12/01/17 11:00:00 AM,14.55,35.56,,,,
24,12/01/17 11:30:00 AM,14.54,35.71,,,,
25,12/01/17 12:00:00 PM,14.53,35.92,,,,
26,12/01/17 12:30:00 PM,14.50,36.10,,,,
27,12/01/17 01:00:00 PM,14.42,36.32,,,,
28,12/01/17 01:30:00 PM,13.99,36.50,,,,
29,12/01/17 02:00:00 PM,13.71,36.72,,,,
30,12/01/17 02:30:00 PM,13.85,36.93,,,,
31,12/01/17 03:00:00 PM,14.08,37.11,,,,
32,12/01/17 03:30:00 PM,14.04,37.29,,,,
33,12/01/17 04:00:00 PM,14.17,37.36,,,,
34,12/01/17 04:30:00 PM,14.32,37.44,,,,
35,12/01/17 05:00:00 PM,14.27,37.44,,,,
36,12/01/17 05:30:00 PM,14.38,37.40,,,,
37,12/01/17 06:00:00 PM,14.40,37.44,,,,
38,12/01/17 06:30:00 PM,14.39,37.47,,,,
39,12/01/17 07:00:00 PM,14.34,37.40,,,,
40,12/01/17 07:30:00 PM,14.40,37.36,,,,
41,12/01/17 08:00:00 PM,14.32,37.40,,,,
42,12/01/17 08:30:00 PM,14.37,37.33,,,,
43,12/01/17 09:00:00 PM,14.33,37.26,,,,
44,12/01/17 09:30:00 PM,14.30,37.15,,,,
45,12/01/17 10:00:00 PM,14.35,37.08,,,,
46,12/01/17 10:30:00 PM,14.29,37.15,,,,
47,12/01/17 11:00:00 PM,14.36,37.26,,,,
48,12/01/17 11:30:00 PM,14.35,37.18,,,,
49,12/02/17 12:00:00 AM,14.33,37.08,,,,
50,12/02/17 12:30:00 AM,14.33,36.93,,,,
51,12/02/17 01:00:00 AM,14.27,36.90,,,,
52,12/02/17 01:30:00 AM,14.22,36.82,,,,
53,12/02/17 02:00:00 AM,14.25,36.68,,,,
54,12/02/17 02:30:00 AM,14.25,36.64,,,,
55,12/02/17 03:00:00 AM,14.19,36.64,,,,
56,12/02/17 03:30:00 AM,13.79,36.61,,,,
57,12/02/17 04:00:00 AM,14.16,36.50,,,,
58,12/02/17 04:30:00 AM,14.14,36.50,,,,
59,12/02/17 05:00:00 AM,14.14,36.46,,,,
60,12/02/17 05:30:00 AM,14.10,36.36,,,,
61,12/02/17 06:00:00 AM,14.10,36.32,,,,
62,12/02/17 06:30:00 AM,14.07,36.28,,,,
63,12/02/17 07:00:00 AM,14.14,36.14,,,,
64,12/02/17 07:30:00 AM,13.95,36.03,,,,
65,12/02/17 08:00:00 AM,13.96,36.00,,,,
66,12/02/17 08:30:00 AM,13.95,35.92,,,,
67,12/02/17 09:00:00 AM,13.88,35.85,,,,
68,12/02/17 09:30:00 AM,13.97,35.85,,,,
69,12/02/17 10:00:00 AM,13.97,35.85,,,,
70,12/02/17 10:30:00 AM,14.03,35.89,,,,
71,12/02/17 11:00:00 AM,13.99,35.96,,,,
72,12/02/17 11:30:00 AM,13.99,36.03,,,,
73,12/02/17 12:00:00 PM,13.90,36.18,,,,
74,12/02/17 12:30:00 PM,13.89,36.36,,,,
75,12/02/17 01:00:00 PM,13.90,36.57,,,,
76,12/02/17 01:30:00 PM,13.86,36.86,,,,
77,12/02/17 02:00:00 PM,13.80,36.97,,,,
78,12/02/17 02:30:00 PM,13.93,37.08,,,,
79,12/02/17 03:00:00 PM,13.96,37.26,,,,
80,12/02/17 03:30:00 PM,14.01,37.40,,,,
81,12/02/17 04:00:00 PM,13.95,37.58,,,,
82,12/02/17 04:30:00 PM,14.06,37.62,,,,
83,12/02/17 05:00:00 PM,14.05,37.62,,,,
84,12/02/17 05:30:00 PM,14.14,37.65,,,,
85,12/02/17 06:00:00 PM,14.19,37.65,,,,
86,12/02/17 06:30:00 PM,14.23,37.62,,,,
87,12/02/17 07:00:00 PM,14.25,37.47,,,,
88,12/02/17 07:30:00 PM,14.27,37.40,,,,
89,12/02/17 08:00:00 PM,14.31,37.33,,,,
90,12/02/17 08:30:00 PM,14.45,37.29,,,,
91,12/02/17 09:00:00 PM,14.46,37.18,,,,
92,12/02/17 09:30:00 PM,14.47,37.04,,,,
93,12/02/17 10:00:00 PM,14.46,36.97,,,,
94,12/02/17 10:30:00 PM,14.41,36.82,,,,
95,12/02/17 11:00:00 PM,14.40,36.72,,,,
96,12/02/17 11:30:00 PM,14.37,36.61,,,,
97,12/03/17 12:00:00 AM,14.35,36.46,,,,
98,12/03/17 12:30:00 AM,14.32,36.39,,,,
99,12/03/17 01:00:00 AM,14.23,36.28,,,,
100,12/03/17 01:30:00 AM,14.17,36.21,,,,
101,12/03/17 02:00:00 AM,14.27,36.10,,,,
102,12/03/17 02:30:00 AM,14.20,36.07,,,,
103,12/03/17 03:00:00 AM,14.12,35.96,,,,
104,12/03/17 03:30:00 AM,14.18,35.92,,,,
105,12/03/17 04:00:00 AM,14.12,35.85,,,,
106,12/03/17 04:30:00 AM,14.10,35.78,,,,
107,12/03/17 05:00:00 AM,14.02,35.71,,,,
108,12/03/17 05:30:00 AM,13.88,35.64,,,,
109,12/03/17 06:00:00 AM,13.70,35.53,,,,
110,12/03/17 06:30:00 AM,13.68,35.53,,,,
111,12/03/17 07:00:00 AM,13.65,35.49,,,,
112,12/03/17 07:30:00 AM,13.74,35.49,,,,
113,12/03/17 08:00:00 AM,13.67,35.46,,,,
114,12/03/17 08:30:00 AM,12.94,35.42,,,,
115,12/03/17 09:00:00 AM,13.36,35.42,,,,
116,12/03/17 09:30:00 AM,13.14,35.49,,,,
117,12/03/17 10:00:00 AM,13.68,35.49,,,,
118,12/03/17 10:30:00 AM,13.65,35.53,,,,
119,12/03/17 11:00:00 AM,13.25,35.60,,,,
120,12/03/17 11:30:00 AM,13.42,35.82,,,,
121,12/03/17 12:00:00 PM,13.31,36.10,,,,
122,12/03/17 12:30:00 PM,13.47,36.28,,,,
123,12/03/17 01:00:00 PM,13.78,36.54,,,,
124,12/03/17 01:30:00 PM,13.68,36.75,,,,
125,12/03/17 02:00:00 PM,13.77,36.86,,,,
126,12/03/17 02:30:00 PM,13.83,37.00,,,,
